Comment,Designator,Footprint,LCSC
R_Small,R50,R_0805_2012Metric,
C_Small,C5,C_0805_2012Metric,
R_Small,R21,R_0805_2012Metric,
R_Small,R2,R_0805_2012Metric,
C_Small,C38,C_0805_2012Metric,
R_Small,R51,R_0805_2012Metric,
R_Small,R36,R_0805_2012Metric,
C_Small,C31,C_0805_2012Metric,
R_Small,R46,R_0805_2012Metric,
R_Small,R4,R_0805_2012Metric,
C_Small,C9,C_0805_2012Metric,
R_Small,R88,R_0805_2012Metric,
C_Small,C40,C_0805_2012Metric,
R_Small,R9,R_0805_2012Metric,
D_Zener_Small,D5,C_1206_3216Metric,
R_Small,R18,R_0805_2012Metric,
Conn_02x05_Odd_Even,J5,PinHeader_2x05_P2.54mm_Vertical,
C_Small,C8,C_0805_2012Metric,
C_Small,C4,C_0805_2012Metric,
BTN8982TA,Q8,TO-263-7_TabPin8,
R_Small,R28,R_0805_2012Metric,
C_Polarized_Small,C33,CP_Radial_D12.5mm_P5.00mm,
R_Small,R15,R_0805_2012Metric,
R_Small,R89,R_0805_2012Metric,
ATtiny24A-SS,U6,SOIC-14_3.9x8.7mm_P1.27mm,
R_Small,R49,R_0805_2012Metric,
R_Small,R16,R_0805_2012Metric,
C_Small,C24,C_0805_2012Metric,
TJA1051T-3,U3,SOIC-8_3.9x4.9mm_P1.27mm,
LM2596S-ADJ,U5,TO-263-5_TabPin3,
BTN8982TA,Q9,TO-263-7_TabPin8,
R_Small,R8,R_0805_2012Metric,
R_Small,R14,R_0805_2012Metric,
R_Small,R24,R_0805_2012Metric,
MX23A18NF1,J2,MX23A18NF1,
R_Small,R34,R_0805_2012Metric,
C_Small,C19,C_0805_2012Metric,
R_Small,R32,R_0805_2012Metric,
LM358,U4,SSOP-8_3.9x5.05mm_P1.27mm,
R_Small,R23,R_0805_2012Metric,
R_Small,R37,R_0805_2012Metric,
C_Small,C13,C_0805_2012Metric,
C_Small,C23,C_0805_2012Metric,
C_Small,C20,C_0805_2012Metric,
C_Small,C42,C_0805_2012Metric,
